,WeightDiff,WeightDiff_normalized,Decision,Next_Month
FTV,0.004481203668831271,-0.0011164649885289444,BUY,78.02122180427499
CZR,0.001074059003923003,-0.0002675953520780392,BUY,37.89231072017399
IBM,-2.5278262862040437,0.6297927419054397,SELL,156.5949389621829
PNC,-0.5058603027426872,0.12603205719640054,SELL,129.22054043783535
JPM,-0.404503123583412,0.10077952456672433,SELL,160.75510863450137
XOM,-0.29646329013147477,0.07386204874330446,SELL,96.02945614618365
ADP,-0.28464538216287616,0.07091768792873815,SELL,206.44225030527147
